26:05:2025-18:39:39 - INFO - LOG: Karnataka,ATHANI ARTO - KA71( 03-AUG-2020 ), No Records Found for year 2025
26:05:2025-18:45:21 - INFO - LOG: Uttar Pradesh,ARTO OFFICE RAMPUR - UP22( 12-FEB-2018 ),2025,JAN Was successfully downloaded
26:05:2025-18:45:24 - INFO - LOG: Karnataka,BELLARY  RTO - KA34( 31-JUL-2018 ),2025,MAR Was successfully downloaded
26:05:2025-18:45:34 - INFO - LOG: Uttar Pradesh,ARTO OFFICE RAMPUR - UP22( 12-FEB-2018 ),2025,FEB Was successfully downloaded
26:05:2025-18:45:37 - INFO - LOG: Karnataka,BELLARY  RTO - KA34( 31-JUL-2018 ),2025,APR Was successfully downloaded
26:05:2025-18:45:48 - INFO - LOG: Uttar Pradesh,ARTO OFFICE RAMPUR - UP22( 12-FEB-2018 ),2025,MAR Was successfully downloaded
26:05:2025-18:45:51 - INFO - LOG: Karnataka,BELLARY  RTO - KA34( 31-JUL-2018 ),2025,MAY Was successfully downloaded
26:05:2025-18:46:01 - INFO - LOG: Uttar Pradesh,ARTO OFFICE RAMPUR - UP22( 12-FEB-2018 ),2025,APR Was successfully downloaded
26:05:2025-18:46:15 - INFO - LOG: Uttar Pradesh,ARTO OFFICE RAMPUR - UP22( 12-FEB-2018 ),2025,MAY Was successfully downloaded
26:05:2025-18:46:22 - INFO - LOG: Karnataka,BENGALURU CENTRAL  RTO - KA1( 21-JAN-2019 ),2025,JAN Was successfully downloaded
26:05:2025-18:46:35 - INFO - LOG: Karnataka,BENGALURU CENTRAL  RTO - KA1( 21-JAN-2019 ),2025,FEB Was successfully downloaded
26:05:2025-18:46:45 - INFO - LOG: Uttar Pradesh,AURAIYA - UP79( 12-OCT-2017 ),2025,JAN Was successfully downloaded
26:05:2025-18:46:49 - INFO - LOG: Karnataka,BENGALURU CENTRAL  RTO - KA1( 21-JAN-2019 ),2025,MAR Was successfully downloaded
26:05:2025-18:46:58 - INFO - LOG: Uttar Pradesh,AURAIYA - UP79( 12-OCT-2017 ),2025,FEB Was successfully downloaded
26:05:2025-18:47:02 - INFO - LOG: Karnataka,BENGALURU CENTRAL  RTO - KA1( 21-JAN-2019 ),2025,APR Was successfully downloaded
26:05:2025-18:47:12 - INFO - LOG: Uttar Pradesh,AURAIYA - UP79( 12-OCT-2017 ),2025,MAR Was successfully downloaded
26:05:2025-18:47:16 - INFO - LOG: Karnataka,BENGALURU CENTRAL  RTO - KA1( 21-JAN-2019 ),2025,MAY Was successfully downloaded
26:05:2025-18:47:25 - INFO - LOG: Uttar Pradesh,AURAIYA - UP79( 12-OCT-2017 ),2025,APR Was successfully downloaded
26:05:2025-18:47:39 - INFO - LOG: Uttar Pradesh,AURAIYA - UP79( 12-OCT-2017 ),2025,MAY Was successfully downloaded
26:05:2025-18:47:45 - INFO - LOG: Karnataka,BENGALURU EAST  RTO - KA3( 04-FEB-2019 ),2025,JAN Was successfully downloaded
26:05:2025-18:47:59 - INFO - LOG: Karnataka,BENGALURU EAST  RTO - KA3( 04-FEB-2019 ),2025,FEB Was successfully downloaded
26:05:2025-18:48:09 - INFO - LOG: Uttar Pradesh,AYODHYA RTO - UP42( 26-DEC-2017 ),2025,JAN Was successfully downloaded
26:05:2025-18:48:13 - INFO - LOG: Karnataka,BENGALURU EAST  RTO - KA3( 04-FEB-2019 ),2025,MAR Was successfully downloaded
26:05:2025-18:48:23 - INFO - LOG: Uttar Pradesh,AYODHYA RTO - UP42( 26-DEC-2017 ),2025,FEB Was successfully downloaded
26:05:2025-18:48:26 - INFO - LOG: Karnataka,BENGALURU EAST  RTO - KA3( 04-FEB-2019 ),2025,APR Was successfully downloaded
26:05:2025-18:48:36 - INFO - LOG: Uttar Pradesh,AYODHYA RTO - UP42( 26-DEC-2017 ),2025,MAR Was successfully downloaded
26:05:2025-18:48:39 - INFO - LOG: Karnataka,BENGALURU EAST  RTO - KA3( 04-FEB-2019 ),2025,MAY Was successfully downloaded
26:05:2025-18:48:50 - INFO - LOG: Uttar Pradesh,AYODHYA RTO - UP42( 26-DEC-2017 ),2025,APR Was successfully downloaded
26:05:2025-18:49:03 - INFO - LOG: Uttar Pradesh,AYODHYA RTO - UP42( 26-DEC-2017 ),2025,MAY Was successfully downloaded
